location,iso_code,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,new_date,Month,day,Year,Day Name,Month Name
Afghanistan,AFG,8200,1367,0.02,35.0,2021-02-28,2,28,2021,Sunday,February
Afghanistan,AFG,54000,2862,0.14,74.0,2021-03-16,3,16,2021,Tuesday,March
Afghanistan,AFG,120000,3000,0.31,77.0,2021-04-07,4,7,2021,Wednesday,April
Afghanistan,AFG,240000,8000,0.62,206.0,2021-04-22,4,22,2021,Thursday,April
Afghanistan,AFG,504502,13921,1.3,358.0,2021-05-11,5,11,2021,Tuesday,May
Afghanistan,AFG,547901,4822,1.41,124.0,2021-05-20,5,20,2021,Thursday,May
Africa,OWID_AFR,2000,500,0.0,0.0,2021-01-13,1,13,2021,Wednesday,January
Africa,OWID_AFR,4000,667,0.0,0.0,2021-01-15,1,15,2021,Friday,January
Africa,OWID_AFR,7000,1000,0.0,1.0,2021-01-16,1,16,2021,Saturday,January
Africa,OWID_AFR,10976,1354,0.0,1.0,2021-01-19,1,19,2021,Tuesday,January
Africa,OWID_AFR,13163,1595,0.0,1.0,2021-01-20,1,20,2021,Wednesday,January
Africa,OWID_AFR,16890,1841,0.0,1.0,2021-01-22,1,22,2021,Friday,January
Africa,OWID_AFR,18353,1622,0.0,1.0,2021-01-23,1,23,2021,Saturday,January
Africa,OWID_AFR,18353,1433,0.0,1.0,2021-01-24,1,24,2021,Sunday,January
Africa,OWID_AFR,19889,1463,0.0,1.0,2021-01-25,1,25,2021,Monday,January
Africa,OWID_AFR,22712,1677,0.0,1.0,2021-01-26,1,26,2021,Tuesday,January
Africa,OWID_AFR,25587,1775,0.0,1.0,2021-01-27,1,27,2021,Wednesday,January
Africa,OWID_AFR,28779,1965,0.0,1.0,2021-01-28,1,28,2021,Thursday,January
Africa,OWID_AFR,30861,1996,0.0,1.0,2021-01-29,1,29,2021,Friday,January
Africa,OWID_AFR,122206,14836,0.01,11.0,2021-01-30,1,30,2021,Saturday,January
Africa,OWID_AFR,158206,19979,0.01,15.0,2021-01-31,1,31,2021,Sunday,January
Africa,OWID_AFR,236712,30975,0.02,23.0,2021-02-01,2,1,2021,Monday,February
Africa,OWID_AFR,295127,38916,0.02,29.0,2021-02-02,2,2,2021,Tuesday,February
Africa,OWID_AFR,347149,45937,0.03,34.0,2021-02-03,2,3,2021,Wednesday,February
Africa,OWID_AFR,390474,51671,0.03,39.0,2021-02-04,2,4,2021,Thursday,February
Africa,OWID_AFR,446986,59446,0.03,44.0,2021-02-05,2,5,2021,Friday,February
Africa,OWID_AFR,504800,54656,0.04,41.0,2021-02-06,2,6,2021,Saturday,February
Africa,OWID_AFR,593502,50970,0.04,38.0,2021-02-08,2,8,2021,Monday,February
Africa,OWID_AFR,661263,52305,0.05,39.0,2021-02-09,2,9,2021,Tuesday,February
Africa,OWID_AFR,795836,64098,0.06,48.0,2021-02-10,2,10,2021,Wednesday,February
Africa,OWID_AFR,908796,74046,0.07,55.0,2021-02-11,2,11,2021,Thursday,February
Africa,OWID_AFR,1165581,102656,0.09,77.0,2021-02-12,2,12,2021,Friday,February
Africa,OWID_AFR,1446178,134483,0.11,100.0,2021-02-13,2,13,2021,Saturday,February
Africa,OWID_AFR,1766999,167642,0.13,125.0,2021-02-15,2,15,2021,Monday,February
Africa,OWID_AFR,1965819,186365,0.15,139.0,2021-02-16,2,16,2021,Tuesday,February
Africa,OWID_AFR,2147659,193118,0.16,144.0,2021-02-17,2,17,2021,Wednesday,February
Africa,OWID_AFR,2303964,199310,0.17,149.0,2021-02-18,2,18,2021,Thursday,February
Africa,OWID_AFR,2513999,192631,0.19,144.0,2021-02-19,2,19,2021,Friday,February
Africa,OWID_AFR,2616931,167250,0.2,125.0,2021-02-20,2,20,2021,Saturday,February
Africa,OWID_AFR,2622421,145119,0.2,108.0,2021-02-21,2,21,2021,Sunday,February
Africa,OWID_AFR,2745898,139843,0.2,104.0,2021-02-22,2,22,2021,Monday,February
Africa,OWID_AFR,2854362,126935,0.21,95.0,2021-02-23,2,23,2021,Tuesday,February
Africa,OWID_AFR,3153546,143698,0.24,107.0,2021-02-24,2,24,2021,Wednesday,February
Africa,OWID_AFR,3434869,161558,0.26,121.0,2021-02-25,2,25,2021,Thursday,February
