location,vaccine,Daily total_vaccinations,Total Vaccinations,new_date,Month,Year,Day Name,Month Name
Chile,Pfizer/BioNTech,420,0,2020-12-24,12,2020,Thursday,December
Chile,Pfizer/BioNTech,5198,0,2020-12-25,12,2020,Friday,December
Chile,Pfizer/BioNTech,8338,0,2020-12-26,12,2020,Saturday,December
Chile,Pfizer/BioNTech,8649,0,2020-12-27,12,2020,Sunday,December
Chile,Pfizer/BioNTech,8649,0,2020-12-28,12,2020,Monday,December
Chile,Pfizer/BioNTech,8649,0,2020-12-29,12,2020,Tuesday,December
Chile,Pfizer/BioNTech,8649,0,2020-12-30,12,2020,Wednesday,December
Chile,Pfizer/BioNTech,8649,0,2020-12-31,12,2020,Thursday,December
Chile,Pfizer/BioNTech,8649,0,2021-01-01,1,2021,Friday,January
Chile,Pfizer/BioNTech,8649,0,2021-02-01,2,2021,Monday,February
Chile,Pfizer/BioNTech,8649,0,2021-03-01,3,2021,Monday,March
Chile,Pfizer/BioNTech,9054,0,2021-04-01,4,2021,Thursday,April
Chile,Pfizer/BioNTech,10497,0,2021-05-01,5,2021,Saturday,May
Chile,Pfizer/BioNTech,10702,0,2021-06-01,6,2021,Tuesday,June
Chile,Pfizer/BioNTech,10702,0,2021-07-01,7,2021,Thursday,July
Chile,Pfizer/BioNTech,10702,0,2021-08-01,8,2021,Sunday,August
Chile,Pfizer/BioNTech,10702,0,2021-09-01,9,2021,Wednesday,September
Chile,Pfizer/BioNTech,10702,0,2021-10-01,10,2021,Friday,October
Chile,Pfizer/BioNTech,10702,0,2021-11-01,11,2021,Monday,November
Chile,Pfizer/BioNTech,10702,0,2021-12-01,12,2021,Wednesday,December
Chile,Pfizer/BioNTech,11732,0,2021-01-13,1,2021,Wednesday,January
Chile,Pfizer/BioNTech,18646,0,2021-01-14,1,2021,Thursday,January
Chile,Pfizer/BioNTech,22077,0,2021-01-15,1,2021,Friday,January
Chile,Pfizer/BioNTech,22167,0,2021-01-16,1,2021,Saturday,January
Chile,Pfizer/BioNTech,22167,0,2021-01-17,1,2021,Sunday,January
Chile,Pfizer/BioNTech,33202,0,2021-01-18,1,2021,Monday,January
Chile,Pfizer/BioNTech,52556,0,2021-01-19,1,2021,Tuesday,January
Chile,Pfizer/BioNTech,61859,0,2021-01-20,1,2021,Wednesday,January
Chile,Pfizer/BioNTech,64920,0,2021-01-21,1,2021,Thursday,January
Chile,Pfizer/BioNTech,65332,0,2021-01-22,1,2021,Friday,January
